Name,Pts,Army,Race,Type,Unit,NumUnits,Class,Person,Size,Height,Life,MVE,RGE,ATK,DEF,SP1,SP2,SP3
Arkmer,50,Ullar,Elf,2,Hero,1,Wizard,Tricky,Medium,5,3,5,5,4,2,"Staff of Lerkintin: When defending with Arkmer, add as many defense dice as the number of Elves you control adjacent to Arkmer.","
Engagement Strike 13: If an opponent's small or medium figure moves adjacent to Arkmer, roll the 20-sided die. If you roll a 13 or higher, the opponent's figure receives one wound. Figures may be targeted only as they move into engagement with Arkmer.",
Armoc Vipers,65,Ullar,Viper,0,Squad,3,Protector,Relentless,Medium,5,1,7,1,3,3,"Ullar Warlord Bonding - Before taking a turn with Armoc Vipers, you may first take a turn with any Warlord you control who follows Ullar.  Slither - Armoc Vipers do not have to stop their movement when entering water spaces.",,
Arrow Gruts,40,Utgar,Orc,0,Squad,3,Archer,Wild,Medium,4,1,6,6,1,1,"BEAST BONDING - Before taking a turn with Arrow Gruts, you may first take a turn with any Beast you control.  ",DISENGAGE - Arrow Gruts are never attacked when leaving an engagement,
Ashigaru Harquebus,60,Einar,Human,0,Squad,4,Ashigaru,Disciplined,Medium,5,1,5,6,2,1,"Wait Then Fire: If none of the Ashigaru Harquebus move this turn, add 1 die to their attack.",,
Ashigaru Yari,40,Einar,Human,0,Squad,4,Ashigaru,Disciplined,Medium,5,1,5,1,2,1,"Encircle Special Attack: Range 1. Attack 6. If 3 Ashigaru Yari you control are adjacent to the same enemy figure, they may roll their attack dice as one combined attack. The defending figure compares height to the lowest Ashigaru Yari to determine any height advantage. If Encircle Special Attack is used, the 4th figure that moved this turn cannot attack.",,
Atlaga the Kyrie Warrior,90,Ullar,Kyrie,2,Hero,1,Warrior,Confident,Medium,6,4,5,5,4,3,"Kyrie Leadership: All Kyrie you control, except Atlaga, move one additional space.","Ullar's Bolt of the Witherwood: After moving and before attacking with Atlaga, you may choose any opponent's figure within 5 clear sight spaces of Atlaga. Roll the 20-sided die. If you roll a 1-15, nothing happens. If you roll a 16 or higher, the chosen figure is destroyed. Atlaga may attempt to use this power only once per game.","Flying: When counting spaces for Atlaga's movement, ignore elevations. Atlaga may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Atlaga starts to fly, if he is engaged he will take any leaving engagement attacks."
Aubrien Archers,70,Ullar,Elf,0,Squad,3,Archer,Precise,Medium,4,1,5,7,2,2,"Frenzy - After you take a turn with Aubrien Archers, roll the 20-sided die. If you roll a 16 or higher, you may take another turn with Aubrien Archers.",,
Axgrinders of Burning Forge,70,Aquilla,Dwarf,0,Squad,4,Fighters,Fearless,Small,3,1,4,1,3,3,"Dwarven Strategic Bonding: Before taking a turn with The Axegrinders of Burning Forge, you may first take a turn with any Dwarf Hero you control. If you do not take a turn with any Dwarf Hero you control, add 2 to the Axegrinders' move number.",Fearless Advantage: An Axegrinder of Burning Forge rolls an additional die when attacking or defending against large or huge figures.,"Climb X2: When moving up or down levels of terrain, The Axegrinders of Burning Forge may double their Height."
Black Wyrmling,30,Vydar,Dragon,0,Hero,1,Wyrmling,Wild,Small,3,1,6,1,3,3,"Fledgling Acid Breath: Instead of attacking with a Black Wyrmling, you may choose one small or medium figure within 4 clear sight spaces of it. Roll the 20-sided die. If you roll a 1-10, nothing happens. If you roll an 11-15, the chosen figure receives 1 wound. If you roll a 16 or higher, the chosen figure receives 2 wounds.","Wyrmling Bonding: After revealing an order marker on a Black Wyrmling Army Card, before taking that Black Wyrmling's turn, you may take a turn with one other Wyrmling you control.","Flying: When counting spaces for a Black Wyrmling's movement, ignore elevations. A Black Wyrmling may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. If a Black Wyrmling is engaged when it starts to fly, it will take any leaving engagement attacks."
Blade Gruts,40,Utgar,Orc,0,Squad,4,Warrior,Wild,Medium,4,1,6,1,2,2,"ORC CHAMPION BONDING - Before taking a turn with Blade Gruts, you may first take a turn with any Orc Champion you control. ", DISENGAGE - Blade Gruts are never attacked when leaving an engagement,
Blastatrons,100,Vydar,Soulborg,0,Squad,4,Guard,Disciplined,Medium,4,1,5,7,1,2,"Gladiatron Movement Bonding: Before taking a turn with Blastatrons, you may move 4 Gladiatrons you control up to 5 spaces each. "," Homing Device: When attacking a non‑adjacent figure, add 1 attack die for every Soulborg who follows Vydar that is adjacent to the defending figure. ",
Blue Wyrmling,35,Aquilla,Dragon,0,Hero,1,Wyrmling,Precise,Small,3,1,5,1,4,3,Fledgling Lightling Breath Special Attack: Range 4 + Special. Attack 2. Choose a figure to attack. You may also choose one other figure within 3 clear sight spaces of the targeted figure to be affected by Fledgling ,Lightning Breath Special Attack. Roll attack dice once for both figures. Each figure rolls defense dice separately. Fledgling Lightning Breath does not affect destructible objects.,"Wyrmling Bonding: After revealing an order marker on a Blue Wyrmling Army Card, before taking that Blue Wyrmling's turn, you may take a turn with one other Wyrmling you control.
Flying: When counting spaces for a Blue Wyrmling's movement, ignore elevations. A Blue Wyrmling may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. If a Blue Wyrmling is engaged when it starts to fly, it will take any leaving engagement attacks."
Brandis Skyhunter,90,Ullar,Half-Elf,2,Hero,1,Ranger,Precise,Medium,5,5,6,5,3,3,"Sky Watcher: If Brandis Skyhunter is attacking a non-adjacent figure that has the Flying or Stealth Flying special power, add 2 dice to Brandis Skyhunter's attack.","Archer's Glory: Each time Brandis Skyhunter destroys an opponent's non-adjacent Unique Hero, you may take another turn with Brandis Skyhunter.",
Brave Arrow,50,Aquilla,Human,2,Hero,1,Tribesman,Fearsome,Medium,5,4,5,1,4,3,"Tracking: While moving, Brave Arrow may add 2 to his move number. If he does, he cannot attack this turn.",Scout Melee Attack Enhancement: All friendly Scouts adjacent to Brave Arrow receive an additional attack die when attacking a figure adjacent to them.,"Concealment 10: If Brave Arrow is targeted and receives one or more wounds from an attacking figure who is not adjacent, you must roll the 20-sided die. Count the minimum number of spaces between the attacker and Brave Arrow. Add this number to your die roll. If you roll a 10 or higher, ignore any wounds Brave Arrow just received."
Braxas,210,Vydar,Dragon,2,Hero,1,Queen,Wild,Huge,13,8,6,1,5,3,"Poisonous Acid Breath - Instead of attacking, you may choose up to 3 different small or medium figures within 4 clear sight spaces of Braxas. One at a time, roll the 20-sided die for each chosen figure. If the chosen figure is a Squad figure and you roll an 8 or higher, destroy it. If the chosen figure is a Hero figure and you roll a 17 or higher, destroy the chosen Hero. ","Flying - When countring spaces for Braxas's movement, ignore elevations. Braxas may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Braxas starts to fly, if she is engaged she will take any leaving engagement attacks. ",
Brunak,110,Utgar,Trolticor,2,Hero,1,Mount,Ferocious,Huge,8,3,6,1,4,7,"CARRY - Before moving Brunak, choose an unengaged friendly small or medium figure adjacent to Brunak.  After you move Brunak, place the chosen figure adjacent to Brunak.  ","BLOOD HUNGRY SPECIAL ATTACK - Range 1.  Attack 4.  If Brunak's Blood Hungry Special Attack destroys a figure, Brunak may attack again with this Blood Hungry Special Attack.  Brunak may continue attacking with his Blood Hungry Special Attack until he does not destroy a figure.  ",LAVA RESISTANCE - Brunak never rolls for molten lava damage or lava field damage and he does not have to stop in molten lava spaces.
Capuan Gladiators,70,Einar,Human,0,Squad,3,Gladiators,Rebellious,Medium,5,1,5,1,3,3,"Human Gladiator Hero Bonding: Before taking a turn with the Capuan Gladiators, you may first take a turn with any Human Gladiator Hero you control.","Initiative Advantage: If all of your order markers are on Gladiator Army Cards, you may add 1 to your initiative roll for every order marker on the Capuan Gladiators' Army Card, up to a maximum of +3 for Initiative Advantage.",
Chardris,90,Ullar,Elf,2,Hero,1,Wizard,Valiant,Medium,5,6,5,1,3,2,"Fire Strike Special Attack: Range 6. Attack 2 + Special. When Chardris attacks with Fire Strike Special Attack, add 1 to Chardris’ attack dice for every additional Elf Wizard you control within 3 clear sight spaces of Chardris, up to a maximum of +3 dice.",,
Charos,210,Ullar,Dragon,2,Hero,1,King,Valiant,Huge,9,9,5,1,5,5,"COUNTER STRIKE - When rolling defense dice against a normal attack from an adjacent attacking figure, all excess shields count as unblockable hits on the attacking figure.  ","FLYING - When counting spaces for Charos's movement, ignore elevation.  Charos may fly over water without stopping.  Charos may pass over figures without becoming engaged.  Charos may fly over obstacles such as ruins.  When Charos starts to fly, if he is engaged he will take any leaving engagement attacks.",
Concan the Kyrie Warrior,80,Jandar,Kyrie,2,Hero,1,Warrior,Valiant,Medium,5,5,5,1,4,4,KNIGHT AND SENTINEL ENGAGEMENT - All friendly Knights and Sentinels adjacent to Concan roll an additional attack die and an additional defense die.  ,"FLYING - When counting spaces for Concan's movement ignore elevations.  Concan may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins.  When Concan starts to fly, if he is engaged, he will take any leaving engagement attacks",
Crixus,90,Einar,Human,2,Hero,1,Gladiator,Rebellious,Medium,4,5,5,1,5,3,"One Shield Defense: When rolling defense dice, if Crixus rolls at least one shield, the most wounds Crixus make take for this attack is one.",,
Cyprien Esenwein,150,Utgar,Undead,2,Hero,1,Lord,Terrifying,Medium,4,6,8,1,3,4,"Life Drain: Each time Cyprien Esenwein destroys a figure, you may remove a wound marker from this Army Card. Cyprien Esenwein cannot Life Drain destructible objects.","Chilling Touch: After moving and before attacking, Cyprien Esenwein may attempt a Chilling Touch. To do this, choose a figure adjacent to Cyprien Esenwein and roll the 20-sided die. If you roll 1-12, nothing happens. If you roll 13-15, the chosen figure receives 1 wound. If you roll 16-17, the chosen figure receives 2 wounds. If you roll 18-19, the chosen figure receives 3 wounds. If you roll a 20 or higher, the chosen figure receives 6 wounds. Cyprien Esenwein's Chilling Touch does not effect Soulborgs or destructible objects.","Stealth Flying: When counting spaces for Cyprien Esenwein's movement, ignore elevations. Cyprien Esenwein may fly over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Cyprien Esenwein starts to fly, if he is engaged he will not take any leaving engagement attacks."
Darrak Ambershard,60,Aquilla,Dwarf,2,Hero,1,Rouge,Tricky,Medium,4,4,5,1,4,2,"Sneak Attack 2: If Darrak Ambershard is attacking an opponent's figure that is adjacent to at least one other figure you control, add 2 dice to Darrak Ambershard's attack.","Disarm Traps: When you roll the 20-sided die for a Treasure Glyph trap with Darrak Ambershard, you may add 4 to your die roll.","Hide In Darkness: If Darrak Ambershard is attacked with a normal attack and at least 1 skull is rolled, roll the 20-sided die. If Darrak Ambershard is on a dungeon space, add 3 to your die roll. If he is on a shadow space, add 6 to your die roll. If you roll 1-15, roll defense dice normally. If you roll a 16 or higher, ignore all damage that would be inflicted by the attack."
Deadeye Dan,60,Ullar,Human,2,Hero,1,Sniper,Precise,Medium,5,3,5,10,1,2,"Ullar Enhanced Rifle Special Attack - Range 10. Attack 1. Choose a non-adjacent small or medium figure to attack. The chosen figure cannot roll defense dice when attacked by Deadeye Dan's Ulllar Enhanced Rifle Special Attack. Deadeye Dan may not use this special attack if he moved this turned. Sharpshooter  - Instead of attacking, you may choose any non-adjacent figure within 10 clear sight spaces of Deadeye Dan. Roll the 20-sided die. If you roll a 19 or 20, the chosen figure is destroyed. If you roll a 1-18, you missed. Deadeye Dan may not use this special power if he moved this turn.",,
Death Chasers of Thesk,55,Valkrill,Orcs,0,Squad,3,Hunters,Wild,Medium,5,1,5,1,4,2,"Task Master Bonding: Before taking a turn with the Death Chasers of Thesk, you may first take a turn with any large Wild Hero you control.","Ork Battle Rush: At the start of the first round of the game, after all order markers have been placed, you may move all Death Chasers of Thesk you control up to 5 spaces each. They must end their Orc Battle Rush movement on an empty space.",
Death Knights of Valkrill,60,Valkrill,Undead,0,Squad,2,Death Knights,Tormented,Medium,5,1,5,1,2,5,Soul Weapons: Figures attacked by a Death Knight of Valkrill subtract 2 from their defense dice.,"Unholy Bonding: Before taking a turn with the Death Knights of Valkrill, you may first take a turn with any small, medium, or large relentless Hero you control.",
Deathreavers,40,Utgar,Soulborg,0,Squad,4,Deathreaver,Tricky,Small,3,1,6,1,1,4,"Scatter: After a Deathreaver rolls defensive dice against a normal attack, you may move any 2 Deathreavers you control up to 4 spaces each. Disengage: Deathreavers are never attacked when leaving an engagement. ","Climb X2: When moving up or down levels of terrain, Deathreavers may double their Height.",
Deathstalkers,100,Utgar,Soulborg,0,Squad,3,Deathstalker,Wild,Large,5,1,7,1,3,5,"Maul: When rolling attack dice against a small or medium figure, if a Deathstalker rolls a skull on every die, the defending figure receives a wound for every skull and cannot roll any defense dice.",,
Deathwalker 7000,100,Utgar,Soulborg,2,Hero,1,Deathwalker,Tricky,Medium,5,1,6,1,3,7,"SELF-DESTRUCT - After moving and instead of attacking, Deathwalker 7000 may choose to self-destruct.  Roll the 20-sided die to determine if any other figures are safe.  If you roll a 1-3, all adjacent figures are safe.  If you roll a 4-15, each adjacent figure receives 2 wounds.  If you roll a 16-19, each adjacent figure receives 4 wounds.  If you roll a 20, each adjacent figure receives 8 wounds.  After using this power, Deathwalker 7000 is always destroyed.  ","STEALTH DODGE - When Deathwalker 7000 rolls defense dice against an attacking figure who is not adjacent, one shield will block all damage.",
Deathwalker 8000,130,Utgar,Soulborg,2,Hero,1,Deathwalker,Precise,Large,7,1,5,7,3,8,"RAPID FIRE SPECIAL ATTACK - Range 7.  Attack 3.  If Deathwalker's Rapid Fire Special Attack inflicts a wound, he may attack again with his Rapid Fire Special Attack.  Deathwalker may continue attacking wih his Rapid Fire Special Attack until he does not inflict a wound.",,
Deathwalker 9000,140,Utgar,Soulborg,2,Hero,1,Deathwalker,Precise,Large,7,1,5,7,4,9,EXPLOSION SPECIAL ATTACK - Range 7. Attack 3.  Choose a figure to attack.  Any figures adjacent to the chosen figure are also affected by the Explosion Special Attack.  Deathwalker only needs a clear sight shot at the chosen figure.  Roll 3 attack dice once for all affected figures.  Each figure rolls defense dice separately.  Deathwalker can be affected by his own Explosion Special Attack.  ,RANGE ENHANCEMENT - Any Soulborg Guards adjacent to Deathwalker add 2 spaces to their range.,
Deepwyrm Drow,70,Utgar,Drow,0,Squad,3,Warriors,Tricky,Medium,5,1,6,1,3,3,"Poison Weapons: Each time a Deepwyrm Drow attacks a small, medium, or large Hero with a normal attack or a leaving engagement attack and inflicts at least 1 wound, roll the 20-sided die. If you roll a 1-11, nothing happens. If you roll a 12 or higher, add 1 additional wound to the defending figure.","Hide In Darkness: If a Deepwyrm Drow is attacked with a normal attack and at least 1 skull is rolled, roll the 20-sided die. If that Deepwyrm Drow is on a dungeon space, add 3 to your die roll. If he is on a shadow space, add 6 to your die roll. If you roll 1-15, roll defense dice normally. If you roll a 16 or higher, ignore all damage that would be inflicted by the attack.",
Drow Chainfighter,25,Utgar,Drow,0,Hero,1,Guard,Wild,Medium,4,1,6,1,4,4,"Chain Grab: After moving and before attacking with a Drow Chainfighter, you may choose one opponent's small or medium figure within 3 clear sight spaces whose base is no more than 6 levels above that Drow Chainfighter's height or 6 levels below that Drow Chainfighter's base. Roll the 20-sided die. If you roll a 9 or higher, place the chosen figure on any empty same-level space adjacent to that Drow Chainfighter. If the chosen figure is engaged when it is moved by Chain Grab, it will not take any leaving engagement attack.","Hide In Darkness: If a Drow Chainfighter is attacked with a normal attack and at least 1 skull is rolled, roll the 20-sided die. If that Drow Chainfighter is on a dungeon space, add 3 to your die roll. If he is on a shadow space, add 6 to your die roll. If you roll 1-15, roll defense dice normally. If you roll a 16 or higher, ignore all damage that would be inflicted by the attack.",
Dumutef Guard,25,Utgar,Fiantooth,0,Hero,1,Guard,Relentless,Large,7,1,6,1,4,4,ROAD STRENGTH - Add 1 to Dumutef Guard's attack and defense while on a road space.  ,DEVOURER ATTACK ENHANCEMENT - All friendly Devourers adjacent to a Dumutef Guard receive an additional attack die.,
Dünd,110,Vydar,Doggin,2,Hero,1,Hunter,Tricky,Large,4,4,6,1,3,5,"CRIPPLING GAZE 15 - Before moving, you may choose a figure within 5 clear sight spaces of Dünd.  Roll the 20-sided die.  If you roll a 15 or higher remove all order markers on the chosen figure's army card (or cars if your opponent has more than one common card for that figure).",,
Dzu-Teh,75,Jandar,Dzu-Teh,0,Squad,3,Hunter,Wild,Medium,6,1,5,1,4,3,"Glacier Traverse - If a Dzu-Teh is adjacent to a Glacier Mountain, the Dzu-Teh may Glacier Traverse instead of moving normally. You may do this with any or all Dzu-Teh you control each turn. To Glacier Traverse, move to any unoccupied space adjacent to that Glacier Mountain. Glacier Camouflage - If a Dzu-Teh is adjacent to a Glacier Mountrain, opponents' figures must be adjacent to that Dzu-Teh to attack it with a normal attack. ",Snow and Ice Enhanced Movement - Slippery Ice and Heavy Snow only count as 1 space when moving. ,
Earth Elemental,35,Einar,Elemental,0,Hero,1,Construct,Fearless,Medium,5,1,4,1,4,4,Earth Slam Special Attack: Range 1. Attack 3. Any non-flying figure adjacent to this Earth Elemental is affected by Earth Slam Special Attack. Roll attack dice once for all affected figures. Each figure rolls defense separately.,"Underground Movement: Instead of moving normally with an Earth Elemental, you may immediately place it on any empty non-water space that is within 4 spaces of that Earth Elemental and is no higher than 1 level above that Earth Elemental's height or 3 levels below that Earth Elemental's base. If an Earth Elemental is engaged when it starts its Underground Movement, it will take any leaving engagement attacks.",
Einar Imperium,140,Einar,Kyrie,0,Squad,3,Soldier,Disciplined,Medium,5,1,5,1,3,3,"Double Attack - When each member of the Einar Imperium attacks, he may attack one additional time.","Stealth Flying - When counting spaces for the Einar Imperium's movement, ignore elevations. The Einar Imperium may fly over water without stopping, pass over obstacles such as ruins. When a member of the Einar Imperium starts to fly, if he is engaged he will not take any leaving engagement attacks. ",
Eldgrim The Viking Champion,30,Jandar,Human,2,Hero,1,Champion,Valiant,Medium,4,3,5,1,2,2,"Overextend Attack - After taking a turn with Eldgrim, you may place a wound marker on Eldgrim and take another turn with him. You may use this power only once during a round.","Warrior's Swiftness Spirit - When Eldgrim is destroyed, you may place this figure on any unique Army Card. Eldgrim's Spirit adds 1 to the move number on that card. ",
Elite Onyx Vipers,100,Ullar,Vipers,2,Squad,3,Scout,Precise,Medium,5,1,7,1,3,2,SLITHER - Onyx Vipers do not have to stop their movement when entering water spaces.  ,"FRENZY - After you take a turn with Onyx Vipers, roll the 20-sided die.  If you roll a 16 or higher you may take another turn with Onyx Vipers.  ","Evasive 8 - When an Elite Onyx Viper rolls defense dice againsts an attacking figure that is not adjacent, add 8 defense dice to the defending viper"
Eltahale,140,Jandar,Goliath,2,Hero,1,Warden,Fearless,Medium,5,6,6,1,5,4,Thunder Ram Assault Special Attack: Range 1 + Special. Attack 4. Choose a figure to attack. You may also choose up to two other figures within 2 clear sight spaces of the targeted figure to be affected by Thunder Ram Assault Special Attack. Roll the attack dice once for all affected figures. Each figures rolls defense dice separately. You can only use Thunder Ram Assault Special Attack if Eltahale was not adjacent to the targeted figure at the start of this turn. You cannot use Thunder Ram Assault Special Attack if you used Thunder Step this turn.,"Thunder Step: Instead of moving Eltahale normally, you may choose an oppnent's figure within 5 clear sight spaces of Eltahale. Place Eltahale on any empty space adjacent to the chosen figure. For the duration of Eltahale's turn, add 1 to her attack value. At the end of her turn, roll 1 attack die. If a skull is rolled, place 1 wound marker on Eltahale's Army Card. If Eltahale is engaged when she starts Thunder Step, she will not take any leaving engagement attacks.",
Emiroon,80,Ullar,Elf,2,Hero,1,Wizard,Tricky,Medium,5,5,5,1,3,3,"Elven Summoning Spell: After moving and before attacking, you may roll the 20-sided die. Add the number of elves you control adjacent to Emirroon to your die roll. If you roll 1-4, nothing happens. If you roll 5-11, you may place 1 Elf you control adjacent to Emirroon. If you roll 12-17, you may place up to 2 Elves you control adjacent to Emirroon. If you roll 18-20, you may place up to 3 Elves you control adjacent to Emirroon. If the summoning Elves are engaged, they will not take any leaving engagement attacks. Emirroon cannot summon an Elf that he is already adjacent to.",,
Empress Kiova,90,Einar,Kyrie,2,Hero,1,Warrior,Disciplined,Medium,6,5,5,1,3,4,"Gift of the Empress Aura - When you roll defense dice for any Kyrie that you control who follows Einar and is within 5 clear sight spaces of Empress Kiova, you may re-roll all defense dice that did not show shields. Gift of the Empress Aura can be used only once for each defense roll. Empress Kiova's Gift of the Empress Aura does not affect Empress Kiova.","Stealth Flying - When counting spaces for Empress Kiova's movement, ignore elevations. Empress Kiova may fly over over water without stopping, pass over figures without becoming engaged, and fly over obstacles such as ruins. When Empress Kiova starts to fly, if she is engaged she will not take any leaving engagement attacks. ",
Erevan Sunshadow,80,Jandar,Eladrin,2,Hero,1,Wizard,Precise,Medium,5,5,6,1,2,2,"Fire Blast Special Attack: Range 5. Attack Special. Each time you attack with Erevan Sunshadow's Fire Blast Special Attack, you may choose to roll 2, 3, or 4 attack dice. If a skull is rolled on every die, you may attack again with Everan Sunshadow's Fire Blast Special Attack until you do not roll a skull on every die.","Fey Step: Once per game, Erevan Sunshadow may use Fey Step. Before moving normally with Erevan Sunshadow, you may place him on any empty space within 5 spaces of his current location. If Erevan Sunshadow is engaged when he uses Fey Step, he will not take any leaving engagement attacks.",
Estivara,80,Utgar,Drow,2,Hero,1,Arachnomancer,Tricky,Medium,4,4,5,1,3,3,"Venom Ray Special Attack: Range 5. Attack 3. If Estivara inflicts at least 1 wound with Venom Ray Special Attack, roll the 20-sided die for Venom Damage. If you roll a 1-9, the defending receives no additional wounds for Venom Damage. If you roll a 10-19, add 1 additional wound marker to the defending figure's Army Card, and roll again for Venom Damage. If you roll a 20, destroy the defending figure.",Lolth's Judgement Aura: All arachnid figures you control within 6 clear sight spaces of Estivara roll 1 additional attack die when attacking normally.,"Cloud of Darkness: After taking a turn with Estivara, you may roll the 20-sided die. If you roll a 16 or higher, while she remains on that space, Estivara has no visible Hit Zone until the next time you reveal an order marker."
Evar Scarcarver,110,Vydar,Human,2,Hero,1,Frostrager,Reckless,Medium,5,5,5,4,2,3,"Double Assault: When Evar Scarcarver attacks an adjacent figure or destructible object, he may attack one additional time.","Frost Rage: When revealing a numbered order marker on Evar Scarcarver's Army Card, you may also reveal an ""X"" order marker that is on Evar Scarcarver's Army Card to activate Frost Rage for the duration of the round. While Frost Rage is active, add 1 to Evar Scarcarver's Attack and Defense values for each wound marker on his Army Card.",
Fen Hydra,120,Utgar,Hydra,1,Hero,1,Marauder,Ferocious,Huge,8,4,5,1,4,6,"Hydra Heads: When this Fen Hydra attacks, it may attack up to 4 times. Reduce the number of times this Fen Hydra can attack by 1 for each wound marker on this Army Card.","Reach: If an opponent's figure is within 2 spaces of this Fen Hydra, and its base is no more than 3 levels above this Fen Hydra's height or 3 levels below this Fen Hydra's base, this Fen Hydra may add 1 to its Range when attacking that figure.",Slither: The Fen Hydra does not have to stop its movement when entering water spaces.
